Keylogger started...
Installing keyboard hook...
Keyboard hook installed successfully.
Key captured: 68
Key captured: 70
Key captured: 71
Key captured: 68
Key captured: 70
Key captured: 83
Key captured: 72
Key captured: 68
Key captured: 71
Key captured: 72
Key captured: 70
Key captured: 68
Key captured: 68
Key captured: 70
Key captured: 71
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 71
Key captured: 68
Key captured: 70
Key captured: 71
Key captured: 83
Key captured: 52
Key captured: 51
Key captured: 51
Key captured: 52
Key captured: 70
Key captured: 66
Key captured: 86
Key captured: 68
Key captured: 70
Key captured: 71
Key captured: 68
Key captured: 83
Key captured: 71
Key captured: 83
Key captured: 68
Key captured: 70
Key captured: 70
Key captured: 72
Key captured: 68
Key captured: 71
Key captured: 72
Key captured: 68
Key captured: 161
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 161
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 49
Key captured: 161
Key captured: 161
Key captured: 161
Key captured: 161
Keylogger started...
Installing keyboard hook...
Keyboard hook installed successfully.
Key captured: 68
Key captured: 70
Key captured: 72
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 72
Key captured: 71
Key captured: 70
Key captured: 68
Key captured: 72
Key captured: 70
Key captured: 68
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 71
Key captured: 72
Key captured: 71
Key captured: 70
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 72
Key captured: 70
Key captured: 70
Key captured: 71
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 70
Key captured: 72
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 71
Key captured: 73
Key captured: 84
Key captured: 32
Key captured: 65
Key captured: 68
Key captured: 68
Key captured: 8
Key captured: 221
Key captured: 221
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 71
Key captured: 73
Key captured: 84
Key captured: 32
Key captured: 65
Key captured: 68
Key captured: 68
Key captured: 32
Key captured: 190
Key captured: 13
Key captured: 71
Key captured: 73
Key captured: 84
Key captured: 32
Key captured: 67
Key captured: 79
Key captured: 77
Key captured: 77
Key captured: 73
Key captured: 89
Key captured: 32
Key captured: 189
Key captured: 77
Key captured: 32
Key captured: 161
Key captured: 50
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 8
Key captured: 84
Key captured: 32
Key captured: 189
Key captured: 161
Key captured: 77
Key captured: 8
Key captured: 77
Key captured: 32
Key captured: 161
Key captured: 50
Key captured: 68
Key captured: 73
Key captured: 83
Key captured: 65
Key captured: 84
Key captured: 69
Key captured: 82
Key captured: 32
Key captured: 80
Key captured: 69
Key captured: 82
Key captured: 79
Key captured: 32
Key captured: 84
Key captured: 69
Key captured: 78
Key captured: 71
Key captured: 79
Key captured: 32
Key captured: 85
Key captured: 78
Key captured: 65
Key captured: 32
Key captured: 86
Key captured: 69
Key captured: 82
Key captured: 83
Key captured: 73
Key captured: 79
Key captured: 78
Key captured: 32
Key captured: 81
Key captured: 85
Key captured: 69
Key captured: 32
Key captured: 70
Key captured: 85
Key captured: 78
Key captured: 67
Key captured: 73
Key captured: 79
Key captured: 78
Key captured: 65
Key captured: 161
Key captured: 50
Key captured: 13
Key captured: 71
Key captured: 73
Key captured: 84
Key captured: 32
Key captured: 80
Key captured: 85
Key captured: 83
Key captured: 72
Key captured: 13
Key captured: 82
Key captured: 32
Key captured: 69
Key captured: 84
Key captured: 83
Key captured: 83
Key captured: 68
Key captured: 70
Key captured: 72
Key captured: 68
Key captured: 70
Key captured: 68
Key captured: 83
Key captured: 70
